,occurance_count
1/1/2009,17
1/2/2009,15
1/3/2009,23
1/4/2009,23
1/5/2009,13
1/6/2009,21
1/7/2009,13
1/8/2009,13
1/9/2009,17
1/10/2009,25
1/11/2009,16
1/12/2009,12
1/13/2009,12
1/14/2009,15
1/15/2009,12
1/16/2009,13
1/17/2009,8
1/18/2009,35
1/19/2009,10
1/20/2009,12
1/21/2009,11
1/22/2009,14
1/23/2009,21
1/24/2009,15
1/25/2009,11
1/26/2009,30
1/27/2009,14
1/28/2009,10
1/29/2009,15
1/30/2009,12
1/31/2009,11
2/1/2009,20
2/2/2009,15
2/3/2009,14
2/4/2009,5
2/5/2009,12
2/6/2009,14
2/7/2009,23
2/8/2009,12
2/9/2009,12
2/10/2009,16
2/11/2009,13
2/12/2009,7
2/13/2009,14
2/14/2009,12
2/15/2009,7
2/16/2009,5
2/17/2009,11
2/18/2009,11
2/19/2009,12
2/20/2009,10
2/21/2009,21
2/22/2009,15
2/23/2009,11
2/24/2009,11
2/25/2009,15
2/26/2009,8
2/27/2009,16
2/28/2009,13
3/1/2009,9
3/2/2009,18
3/3/2009,13
3/4/2009,7
3/5/2009,12
3/6/2009,17
3/7/2009,12
3/8/2009,16
3/9/2009,15
3/10/2009,12
3/11/2009,18
3/12/2009,11
3/13/2009,8
3/14/2009,13
3/15/2009,11
3/16/2009,20
3/17/2009,13
3/18/2009,8
3/19/2009,17
3/20/2009,14
3/21/2009,21
3/22/2009,20
3/23/2009,14
3/24/2009,24
3/25/2009,16
3/26/2009,12
3/27/2009,6
3/28/2009,13
3/29/2009,17
3/30/2009,15
3/31/2009,12
4/1/2009,13
4/2/2009,12
4/3/2009,19
4/4/2009,22
4/5/2009,8
4/6/2009,7
4/7/2009,12
4/8/2009,13
4/9/2009,15
4/10/2009,10
4/11/2009,19
4/12/2009,21
4/13/2009,10
4/14/2009,12
4/15/2009,6
4/16/2009,15
4/17/2009,8
4/18/2009,14
4/19/2009,16
4/20/2009,15
4/21/2009,11
4/22/2009,9
4/23/2009,13
4/24/2009,10
4/25/2009,20
4/26/2009,16
4/27/2009,12
4/28/2009,10
4/29/2009,21
4/30/2009,17
5/1/2009,13
5/2/2009,9
5/3/2009,9
5/4/2009,16
5/5/2009,22
5/6/2009,19
5/7/2009,7
5/8/2009,19
5/9/2009,11
5/10/2009,26
5/11/2009,11
5/12/2009,13
5/13/2009,9
5/14/2009,12
5/15/2009,9
5/16/2009,19
5/17/2009,9
5/18/2009,12
5/19/2009,11
5/20/2009,12
5/21/2009,12
5/22/2009,15
5/23/2009,12
5/24/2009,12
5/25/2009,18
5/26/2009,16
5/27/2009,12
5/28/2009,10
5/29/2009,16
5/30/2009,14
5/31/2009,21
6/1/2009,13
6/2/2009,27
6/3/2009,15
6/4/2009,16
6/5/2009,15
6/6/2009,9
6/7/2009,24
6/8/2009,22
6/9/2009,13
6/10/2009,19
6/11/2009,12
6/12/2009,5
6/13/2009,21
6/14/2009,15
6/15/2009,16
6/16/2009,16
6/17/2009,14
6/18/2009,24
6/19/2009,13
6/20/2009,18
6/21/2009,17
6/22/2009,10
6/23/2009,21
6/24/2009,22
6/25/2009,15
6/26/2009,15
6/27/2009,14
6/28/2009,14
6/29/2009,20
6/30/2009,16
7/1/2009,12
7/2/2009,15
7/3/2009,15
7/4/2009,19
7/5/2009,11
7/6/2009,9
7/7/2009,21
7/8/2009,11
7/9/2009,9
7/10/2009,9
7/11/2009,25
7/12/2009,22
7/13/2009,8
7/14/2009,19
7/15/2009,18
7/16/2009,11
7/17/2009,19
7/18/2009,21
7/19/2009,14
7/20/2009,14
7/21/2009,18
7/22/2009,15
7/23/2009,15
7/24/2009,19
7/25/2009,25
7/26/2009,27
7/27/2009,22
7/28/2009,18
7/29/2009,15
7/30/2009,21
7/31/2009,19
8/1/2009,31
8/2/2009,22
8/3/2009,8
8/4/2009,15
8/5/2009,15
8/6/2009,17
8/7/2009,13
8/8/2009,16
