,occurance_count
1/1/2009,558
1/2/2009,283
1/3/2009,292
1/4/2009,239
1/5/2009,304
1/6/2009,221
1/7/2009,243
1/8/2009,271
1/9/2009,304
1/10/2009,280
1/11/2009,219
1/12/2009,264
1/13/2009,260
1/14/2009,247
1/15/2009,268
1/16/2009,240
1/17/2009,263
1/18/2009,214
1/19/2009,228
1/20/2009,252
1/21/2009,252
1/22/2009,275
1/23/2009,310
1/24/2009,260
1/25/2009,236
1/26/2009,234
1/27/2009,244
1/28/2009,235
1/29/2009,279
1/30/2009,269
1/31/2009,288
2/1/2009,373
2/2/2009,272
2/3/2009,197
2/4/2009,256
2/5/2009,256
2/6/2009,309
2/7/2009,267
2/8/2009,232
2/9/2009,242
2/10/2009,264
2/11/2009,271
2/12/2009,274
2/13/2009,325
2/14/2009,299
2/15/2009,330
2/16/2009,251
2/17/2009,309
2/18/2009,289
2/19/2009,258
2/20/2009,319
2/21/2009,326
2/22/2009,239
2/23/2009,222
2/24/2009,262
2/25/2009,302
2/26/2009,307
2/27/2009,314
2/28/2009,296
3/1/2009,341
3/2/2009,186
3/3/2009,232
3/4/2009,230
3/5/2009,286
3/6/2009,315
3/7/2009,346
3/8/2009,273
3/9/2009,247
3/10/2009,320
3/11/2009,306
3/12/2009,309
3/13/2009,330
3/14/2009,321
3/15/2009,340
3/16/2009,278
3/17/2009,290
3/18/2009,331
3/19/2009,294
3/20/2009,317
3/21/2009,271
3/22/2009,275
3/23/2009,241
3/24/2009,270
3/25/2009,302
3/26/2009,270
3/27/2009,323
3/28/2009,337
3/29/2009,299
3/30/2009,278
3/31/2009,278
4/1/2009,433
4/2/2009,272
4/3/2009,300
4/4/2009,275
4/5/2009,291
4/6/2009,258
4/7/2009,291
4/8/2009,302
4/9/2009,312
4/10/2009,335
4/11/2009,264
4/12/2009,255
4/13/2009,252
4/14/2009,248
4/15/2009,307
4/16/2009,272
4/17/2009,328
4/18/2009,318
4/19/2009,249
4/20/2009,260
4/21/2009,259
4/22/2009,249
4/23/2009,274
4/24/2009,339
4/25/2009,293
4/26/2009,292
4/27/2009,242
4/28/2009,257
4/29/2009,283
4/30/2009,286
5/1/2009,387
5/2/2009,281
5/3/2009,237
5/4/2009,252
5/5/2009,251
5/6/2009,281
5/7/2009,296
5/8/2009,339
5/9/2009,318
5/10/2009,286
5/11/2009,299
5/12/2009,313
5/13/2009,272
5/14/2009,272
5/15/2009,332
5/16/2009,296
5/17/2009,259
5/18/2009,272
5/19/2009,246
5/20/2009,278
5/21/2009,263
5/22/2009,313
5/23/2009,300
5/24/2009,254
5/25/2009,268
5/26/2009,251
5/27/2009,259
5/28/2009,274
5/29/2009,291
5/30/2009,259
5/31/2009,243
6/1/2009,402
6/2/2009,286
6/3/2009,242
6/4/2009,248
6/5/2009,268
6/6/2009,269
6/7/2009,273
6/8/2009,285
6/9/2009,244
6/10/2009,308
6/11/2009,246
6/12/2009,279
6/13/2009,304
6/14/2009,260
6/15/2009,302
6/16/2009,258
6/17/2009,266
6/18/2009,215
6/19/2009,308
6/20/2009,315
6/21/2009,303
6/22/2009,271
6/23/2009,268
6/24/2009,322
6/25/2009,287
6/26/2009,300
6/27/2009,288
6/28/2009,296
6/29/2009,242
6/30/2009,243
7/1/2009,369
7/2/2009,290
7/3/2009,304
7/4/2009,313
7/5/2009,294
7/6/2009,277
7/7/2009,250
7/8/2009,266
7/9/2009,272
7/10/2009,263
7/11/2009,266
7/12/2009,238
7/13/2009,248
7/14/2009,268
7/15/2009,294
7/16/2009,248
7/17/2009,288
7/18/2009,295
7/19/2009,278
7/20/2009,282
7/21/2009,261
7/22/2009,275
7/23/2009,223
7/24/2009,284
7/25/2009,316
7/26/2009,273
7/27/2009,260
7/28/2009,276
7/29/2009,243
7/30/2009,288
7/31/2009,255
8/1/2009,424
8/2/2009,276
8/3/2009,238
8/4/2009,262
8/5/2009,254
8/6/2009,285
8/7/2009,320
