,occurance_count
1/1/2009,424
1/2/2009,382
1/3/2009,406
1/4/2009,296
1/5/2009,499
1/6/2009,413
1/7/2009,417
1/8/2009,436
1/9/2009,473
1/10/2009,344
1/11/2009,275
1/12/2009,456
1/13/2009,452
1/14/2009,429
1/15/2009,395
1/16/2009,445
1/17/2009,360
1/18/2009,296
1/19/2009,290
1/20/2009,449
1/21/2009,419
1/22/2009,379
1/23/2009,470
1/24/2009,417
1/25/2009,292
1/26/2009,386
1/27/2009,394
1/28/2009,357
1/29/2009,395
1/30/2009,438
1/31/2009,392
2/1/2009,363
2/2/2009,409
2/3/2009,350
2/4/2009,333
2/5/2009,329
2/6/2009,412
2/7/2009,367
2/8/2009,316
2/9/2009,361
2/10/2009,455
2/11/2009,435
2/12/2009,418
2/13/2009,470
2/14/2009,337
2/15/2009,337
2/16/2009,366
2/17/2009,394
2/18/2009,392
2/19/2009,411
2/20/2009,418
2/21/2009,366
2/22/2009,270
2/23/2009,375
2/24/2009,363
2/25/2009,395
2/26/2009,435
2/27/2009,410
2/28/2009,350
3/1/2009,393
3/2/2009,271
3/3/2009,336
3/4/2009,356
3/5/2009,421
3/6/2009,460
3/7/2009,367
3/8/2009,327
3/9/2009,373
3/10/2009,422
3/11/2009,429
3/12/2009,400
3/13/2009,438
3/14/2009,364
3/15/2009,339
3/16/2009,401
3/17/2009,399
3/18/2009,392
3/19/2009,401
3/20/2009,456
3/21/2009,408
3/22/2009,346
3/23/2009,373
3/24/2009,433
3/25/2009,420
3/26/2009,412
3/27/2009,509
3/28/2009,383
3/29/2009,328
3/30/2009,430
3/31/2009,392
4/1/2009,460
4/2/2009,418
4/3/2009,429
4/4/2009,327
4/5/2009,352
4/6/2009,372
4/7/2009,427
4/8/2009,436
4/9/2009,422
4/10/2009,416
4/11/2009,333
4/12/2009,296
4/13/2009,362
4/14/2009,419
4/15/2009,376
4/16/2009,402
4/17/2009,432
4/18/2009,401
4/19/2009,313
4/20/2009,410
4/21/2009,439
4/22/2009,413
4/23/2009,419
4/24/2009,488
4/25/2009,395
4/26/2009,352
4/27/2009,405
4/28/2009,434
4/29/2009,458
4/30/2009,460
5/1/2009,569
5/2/2009,389
5/3/2009,336
5/4/2009,433
5/5/2009,478
5/6/2009,486
5/7/2009,365
5/8/2009,482
5/9/2009,389
5/10/2009,335
5/11/2009,449
5/12/2009,444
5/13/2009,472
5/14/2009,425
5/15/2009,497
5/16/2009,392
5/17/2009,361
5/18/2009,425
5/19/2009,395
5/20/2009,471
5/21/2009,415
5/22/2009,474
5/23/2009,412
5/24/2009,361
5/25/2009,409
5/26/2009,456
5/27/2009,409
5/28/2009,426
5/29/2009,486
5/30/2009,387
5/31/2009,341
6/1/2009,510
6/2/2009,456
6/3/2009,443
6/4/2009,400
6/5/2009,430
6/6/2009,395
6/7/2009,355
6/8/2009,444
6/9/2009,401
6/10/2009,439
6/11/2009,454
6/12/2009,477
6/13/2009,391
6/14/2009,357
6/15/2009,429
6/16/2009,441
6/17/2009,465
6/18/2009,420
6/19/2009,472
6/20/2009,405
6/21/2009,367
6/22/2009,478
