,occurance_count
1/1/2009,214
1/2/2009,214
1/3/2009,262
1/4/2009,203
1/5/2009,220
1/6/2009,200
1/7/2009,197
1/8/2009,222
1/9/2009,244
1/10/2009,207
1/11/2009,192
1/12/2009,229
1/13/2009,274
1/14/2009,217
1/15/2009,203
1/16/2009,233
1/17/2009,219
1/18/2009,261
1/19/2009,231
1/20/2009,225
1/21/2009,224
1/22/2009,235
1/23/2009,300
1/24/2009,271
1/25/2009,240
1/26/2009,212
1/27/2009,217
1/28/2009,182
1/29/2009,226
1/30/2009,229
1/31/2009,209
2/1/2009,328
2/2/2009,237
2/3/2009,196
2/4/2009,213
2/5/2009,164
2/6/2009,194
2/7/2009,277
2/8/2009,270
2/9/2009,270
2/10/2009,226
2/11/2009,242
2/12/2009,237
2/13/2009,250
2/14/2009,266
2/15/2009,239
2/16/2009,214
2/17/2009,181
2/18/2009,167
2/19/2009,179
2/20/2009,190
2/21/2009,236
2/22/2009,259
2/23/2009,198
2/24/2009,233
2/25/2009,243
2/26/2009,255
2/27/2009,307
2/28/2009,273
3/1/2009,272
3/2/2009,152
3/3/2009,174
3/4/2009,229
3/5/2009,259
3/6/2009,241
3/7/2009,317
3/8/2009,244
3/9/2009,257
3/10/2009,266
3/11/2009,262
3/12/2009,226
3/13/2009,265
3/14/2009,244
3/15/2009,250
3/16/2009,250
3/17/2009,224
3/18/2009,265
3/19/2009,245
3/20/2009,238
3/21/2009,249
3/22/2009,256
3/23/2009,201
3/24/2009,265
3/25/2009,216
3/26/2009,232
3/27/2009,279
3/28/2009,287
3/29/2009,278
3/30/2009,272
3/31/2009,277
4/1/2009,278
4/2/2009,228
4/3/2009,279
4/4/2009,282
4/5/2009,266
4/6/2009,222
4/7/2009,211
4/8/2009,236
4/9/2009,214
4/10/2009,208
4/11/2009,243
4/12/2009,263
4/13/2009,209
4/14/2009,182
4/15/2009,186
4/16/2009,204
4/17/2009,239
4/18/2009,297
4/19/2009,256
4/20/2009,193
4/21/2009,249
4/22/2009,225
4/23/2009,245
4/24/2009,256
4/25/2009,329
4/26/2009,350
4/27/2009,280
4/28/2009,268
4/29/2009,270
4/30/2009,235
5/1/2009,309
5/2/2009,325
5/3/2009,249
5/4/2009,221
5/5/2009,230
5/6/2009,261
5/7/2009,232
5/8/2009,288
5/9/2009,331
5/10/2009,318
5/11/2009,273
5/12/2009,259
5/13/2009,279
5/14/2009,234
5/15/2009,281
5/16/2009,288
5/17/2009,261
5/18/2009,252
5/19/2009,226
5/20/2009,243
5/21/2009,294
5/22/2009,268
5/23/2009,325
5/24/2009,317
5/25/2009,303
5/26/2009,235
5/27/2009,228
5/28/2009,242
